FPKM,Head,MINIMUM,Eye,Brain,Thoracicoabdominal ganglion,Crop,Midgut,Hindgut,Malpighian Tubules,Fat body,Salivary gland,Heart,Carcass,Rectal pad,Ovary,Virgin Spermatheca,Mated Spermatheca,Whole body
FBgn0000003,0.6955891238670695,0.02416918429003021,0.0,0.0,0.0,3.3151661631419937,13.122537764350454,5.620060422960725,0.6117220543806646,3.760725075528701,0.0,1.8350453172205436,3.0331117824773415,0.0,0.5358308157099698,4.9783685800604225,5.178368580060423,1.0
FBgn0000008,0.7904509283819628,0.5305039787798409,1.156498673740053,1.0503978779840848,0.480106100795756,0.26790450928381965,0.08488063660477453,0.22546419098143236,0.27320954907161804,0.7188328912466844,0.46419098143236076,0.7639257294429708,0.6312997347480106,0.21220159151193635,1.2466843501326261,2.143236074270557,1.9151193633952255,1.0
FBgn0000014,0.005,1.0,0.005,0.0,1.25,0.07,0.18,0.16,0.04,0.745,0.06,1.455,1.065,0.235,0.325,14.84,16.36,0.495
FBgn0000015,0.0,1.0,0.005,0.01,0.69,0.035,0.03,1.79,0.095,0.165,0.005,0.135,0.32,4.38,0.035,8.415,8.11,0.29
FBgn0000017,2.3644346871569706,0.21953896816684962,1.2140504939626786,1.5993413830954997,1.946212952799122,0.6915477497255763,0.2854006586169045,0.4434687156970363,0.6070252469813393,0.47969264544456647,1.2568605927552141,1.6498353457738748,0.8968166849615807,0.6125137211855105,0.9692645444566411,0.7815587266739847,0.8057080131723381,1.0
FBgn0000018,0.5013054830287206,0.2610966057441253,0.5443864229765013,0.2989556135770235,0.37597911227154046,0.6318537859007832,0.6409921671018277,0.5809399477806788,0.6318537859007832,0.4412532637075718,0.7284595300261096,1.0744125326370757,0.6866840731070496,0.45430809399477806,1.3302872062663185,0.3433420365535248,0.41906005221932113,1.0
FBgn0000022,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.035,0.0,0.0,0.03,0.04,0.07,0.0,0.03,0.045
FBgn0000024,13.10204081632653,0.8163265306122448,8.142857142857142,16.65714285714286,21.73061224489796,1.5346938775510202,1.2040816326530612,0.08979591836734693,0.583673469387755,0.1346938775510204,0.26122448979591834,0.16734693877551018,1.163265306122449,0.19999999999999998,0.012244897959183673,0.16326530612244897,0.2897959183673469,1.0
FBgn0000028,0.81,1.0,0.09,0.995,0.31,0.01,0.01,0.005,0.025,0.0,0.005,0.0,0.03,0.01,0.015,0.0,0.015,0.065
FBgn0000032,0.3360248447204969,0.12422360248447203,0.3490683229813664,0.3291925465838509,0.43478260869565216,0.40745341614906827,0.4875776397515527,0.36273291925465834,0.2714285714285714,0.5068322981366459,0.9093167701863354,0.6925465838509316,0.4838509316770186,0.33354037267080744,1.47639751552795,0.7950310559006211,0.6906832298136645,1.0
FBgn0000036,2.895,1.0,0.625,7.315,7.855,0.065,0.0,0.005,0.005,0.02,0.06,0.005,0.25,0.01,0.0,0.0,0.05,0.215
FBgn0000037,2.78,1.0,0.83,6.615,3.755,0.055,0.01,0.01,0.015,0.025,0.055,0.005,0.175,0.06,0.005,0.15,0.15,0.19
FBgn0000038,11.968354430379746,0.6329113924050632,1.2911392405063291,14.490506329113924,16.439873417721518,0.3829113924050633,0.0,0.009493670886075948,0.015822784810126583,0.03797468354430379,0.08860759493670886,0.04113924050632911,0.5031645569620253,0.03164556962025317,0.028481012658227847,0.009493670886075948,0.07278481012658228,1.0
FBgn0000039,3.24,1.0,0.745,9.03,7.785,0.115,0.0,0.0,0.005,0.03,0.075,0.0,0.255,0.0,0.0,0.01,0.0,0.12
FBgn0000042,0.6151150054764513,0.00547645125958379,0.8215772179627602,0.534145673603505,0.7884173055859803,0.656763417305586,3.5546002190580506,1.5918400876232204,1.6181544359255204,0.34006024096385545,0.7631982475355971,0.722617743702081,0.49734392113910186,0.7224534501642935,0.8762048192771085,0.4351588170865279,0.4526013143483023,1.0
FBgn0000043,0.2766645119586296,0.03232062055591467,0.14107950872656755,0.20523594053005817,0.3996444731738849,0.18729799612152553,2.506787330316742,0.21202327084680023,0.10148674854557208,0.1405946994182288,0.3277310924369748,0.8025210084033613,0.4022301228183581,0.16790562378797674,1.1372010342598577,0.20168067226890757,0.22559793148028442,1.0
FBgn0000044,2.4954160789844853,0.023507287259050307,0.3346262341325811,0.04360601786553832,0.39515749882463563,23.196403385049365,1.3175834508697697,3.1235307945463093,0.1815937940761636,0.7260225669957687,0.33991537376586745,5.309238363892806,2.50940291490362,15.618476727785612,0.1671368124118477,1.2993653032440056,1.8077103902209686,1.0
FBgn0000045,0.6389873417721519,0.10126582278481013,0.17063291139240508,0.41569620253164563,5.5878481012658225,0.06531645569620254,0.009113924050632912,0.0015189873417721519,0.022278481012658228,0.0410126582278481,0.25063291139240507,0.035949367088607596,5.398987341772152,0.020759493670886076,0.002531645569620253,0.005569620253164557,0.0060759493670886075,1.0
FBgn0000046,1.110408560311284,0.09727626459143969,0.38715953307393,0.031128404669260704,0.7480544747081713,22.769941634241246,1.3754863813229574,0.642023346303502,0.08025291828793775,0.8784046692607004,0.29863813229571984,1.374513618677043,2.594844357976654,10.467412451361868,0.05350194552529183,1.5457198443579767,2.323443579766537,1.0
FBgn0000047,0.8411552346570397,0.24067388688327315,0.4560770156438026,0.06257521058965101,37.871239470517445,0.3838748495788207,0.0048134777376654635,0.018050541516245487,0.024067388688327317,0.01684717208182912,0.950661853188929,0.13838748495788206,17.010830324909747,0.13237063778580024,0.007220216606498194,0.014440433212996389,0.012033694344163659,1.0
FBgn0000052,1.0843727072633895,0.1467351430667645,1.9860601614086573,0.1804842259721203,0.44020542920029343,0.2193690388848129,0.2721936903888481,0.24064563462949373,0.3242846661775495,1.4974321349963315,0.5803374908290535,1.8121790168745413,1.6316947909024209,0.17461482024944971,1.0726338958180484,0.8936170212765957,1.2303741746148202,1.0
FBgn0000053,1.3025169409486932,0.0968054211035818,1.7541142303969024,0.1611810261374637,0.5338818973862536,0.49370764762826713,0.16989351403678604,0.7570183930300097,0.2512100677637948,1.9264278799612777,0.6698935140367861,1.9951597289448209,1.8804453049370766,0.3959341723136495,0.9670861568247822,0.8543078412391093,1.313165537270087,1.0
FBgn0000055,3.627552538102154,0.0034996237904425273,5.007996640361161,0.8811177798386673,2.026737125758981,6.396489877338186,0.14572433463402684,0.7121559432361021,4.774799209085023,4.532922710808588,1.7128558679941905,4.932334774011794,5.699854765612696,1.507410453376262,0.22787800311466516,1.4755113825263784,3.529475581375002,1.0
FBgn0000056,4.021262234222073,0.06749915626054674,4.160310496118798,1.1366857914276072,2.449881876476544,8.760040499493757,0.07829902126223422,0.8886263921700979,5.5561930475869055,15.176847789402633,1.6834289571380359,1.6304421194735068,5.724940938238272,2.0195747553155585,0.1383732703341208,2.3317583530205876,5.719878501518731,1.0
FBgn0000057,1.0606060606060606,0.3787878787878788,1.1496212121212122,0.7575757575757576,0.9147727272727273,0.7026515151515151,0.6401515151515151,0.8825757575757576,1.399621212121212,1.1003787878787878,1.1193181818181819,1.7803030303030303,1.2443181818181819,0.6647727272727272,1.106060606060606,0.7481060606060606,1.125,1.0
FBgn0000061,0.075,1.0,0.05,0.0,0.03,0.01,0.0,0.01,0.005,0.035,0.0,0.05,0.055,0.37,0.0,0.325,0.185,0.055
FBgn0000063,0.11256544502617802,0.5235602094240838,0.07853403141361257,0.18586387434554974,0.18848167539267016,0.08638743455497383,0.0549738219895288,0.044502617801047126,0.0549738219895288,0.08900523560209425,0.356020942408377,0.5104712041884817,0.1544502617801047,0.07591623036649214,1.6256544502617802,0.02356020942408377,0.02879581151832461,1.0
FBgn0000064,1.4578568403218974,0.012101409814243359,1.4869607309251527,0.8268288255581775,2.4043686089429417,1.045501300901555,0.6437950021177468,1.2976946814303865,1.5102559448175712,1.6308464936165061,1.771706903854299,2.0353361166575903,5.595147334664488,1.6194711683911174,0.19991529013130027,0.890058691837599,1.2649603678828583,1.0
FBgn0000071,0.13,1.0,0.06,0.28,0.49,0.275,0.01,0.025,0.02,0.0,0.01,0.07,0.23,0.21,0.0,0.0,0.215,0.68
FBgn0000075,0.7304147465437788,0.4608294930875576,0.11290322580645161,0.05529953917050691,0.04608294930875576,1.6889400921658988,0.009216589861751152,1.0391705069124424,0.2695852534562212,0.0,1.1566820276497696,0.2350230414746544,0.14055299539170507,1.5207373271889402,0.7327188940092166,0.062211981566820285,0.05990783410138249,1.0
FBgn0000077,1.0228384991843393,0.3262642740619902,1.0946166394779773,1.0277324632952691,0.9282218597063623,0.9184339314845025,0.6737357259380098,0.7438825448613376,0.9412724306688417,0.8711256117455138,0.9608482871125611,1.029363784665579,1.0081566068515497,0.6851549755301795,1.166394779771615,0.7014681892332789,0.7748776508972268,1.0
FBgn0000078,0.142652842331069,0.03575259206292456,0.2695745441544512,0.008044333214158027,1.2552735073292813,0.5296746514122274,14.17786914551305,0.01519485162674294,0.005720414730067931,0.023239184840900966,0.10904540579191992,0.08097962102252414,1.2520557740436182,0.02484805148373257,0.0007150518412584913,0.013049696102967466,0.0058991776903825534,1.0
FBgn0000079,0.15760266370699222,0.05549389567147614,0.40566037735849053,0.009156492785793563,2.478357380688124,0.9825194228634849,26.46392896781354,0.023584905660377357,0.01220865704772475,0.04189789123196448,0.20477247502774695,0.12541620421753608,3.026082130965594,0.05715871254162042,0.001664816870144284,0.09267480577136515,0.00804661487236404,1.0
FBgn0000083,2.366165413533835,0.050125313283208024,1.8380952380952382,0.805513784461153,2.618295739348371,11.889974937343359,0.680952380952381,7.241353383458647,3.312280701754386,0.4556390977443609,1.9245614035087721,1.4987468671679198,1.880952380952381,11.353634085213033,0.6802005012531329,1.5155388471177944,1.8819548872180452,1.0
FBgn0000084,2.868613138686131,0.121654501216545,3.8698296836982964,2.515206812652068,5.639294403892944,1.7633819951338197,0.6599756690997566,2.0231143552311432,0.23722627737226276,0.778588807785888,1.397810218978102,1.282846715328467,2.050486618004866,2.2439172749391725,0.6964720194647201,0.5279805352798053,0.650243309002433,1.0
FBgn0000092,0.54,1.0,1.11,0.135,0.44,0.56,0.105,0.125,0.04,0.1,0.08,0.135,1.14,0.3,0.0,0.02,0.02,0.18
FBgn0000094,0.135,1.0,0.0,0.045,0.075,0.0,0.0,0.0,0.43,0.0,0.0,0.17,0.07,2.31,0.32,0.0,0.0,0.275
FBgn0000097,0.8893442622950819,0.27322404371584696,0.7841530054644809,0.5683060109289617,0.6830601092896175,1.3005464480874316,0.9549180327868853,0.5683060109289617,0.9617486338797814,0.8524590163934426,0.587431693989071,1.2923497267759563,0.7595628415300546,0.6598360655737705,1.233606557377049,0.9248633879781419,1.1775956284153004,1.0
FBgn0000100,1.043637067987493,0.005534187442928692,1.6200503611057309,0.47303467168432994,0.6452309139710563,1.0666039458756469,0.9200033205124658,1.0103489305182767,1.2251584161155538,1.065580121198705,1.0105979689532085,2.600487008494978,1.56927419131686,0.9197819530147486,1.0274495697169264,0.6023686322255735,0.7303467168432995,1.0
